Country,Year,Month,Event,State/Province
805650366791,2007,321193061305,842955241147,115979017587
805650366791,2007,321193061305,842955241147,1083570781771
805650366791,2010,637860132779,842955241147,1083570781771
805650366791,1972,225044240400,842955241147,1083570781771
805650366791,2011,225044240400,842955241147,1083570781771
805650366791,2011,637860132779,842955241147,1083570781771
805650366791,2019,881714492924,173815961506,115979017587
805650366791,2019,582981880659,173815961506,491896530011
805650366791,2019,789269779534,173815961506,491896530011
805650366791,2019,789269779534,173815961506,397587297653
805650366791,2018,789269779534,173815961506,491896530011
805650366791,2018,898528197691,173815961506,397587297653
805650366791,2018,341814020434,173815961506,115979017587
805650366791,2018,582981880659,173815961506,491896530011
805650366791,2018,225044240400,173815961506,397587297653
805650366791,2018,225044240400,173815961506,491896530011
805650366791,2018,81113368858,173815961506,491896530011
805650366791,2017,789269779534,173815961506,397587297653
805650366791,2017,898528197691,173815961506,115979017587
805650366791,2017,898528197691,173815961506,1083570781771
805650366791,2017,341814020434,173815961506,397587297653
805650366791,2017,341814020434,173815961506,491896530011
805650366791,2017,842191546849,173815961506,397587297653
805650366791,2017,225044240400,173815961506,115979017587
805650366791,2017,637860132779,173815961506,491896530011
805650366791,2017,81113368858,173815961506,491896530011
805650366791,2017,321193061305,173815961506,491896530011
805650366791,2019,225044240400,782389966709,405405895484
805650366791,2019,225044240400,782389966709,397587297653
805650366791,2019,582981880659,782389966709,1083570781771
805650366791,2016,81113368858,782389966709,491896530011
805650366791,2011,842191546849,782389966709,397587297653
805650366791,2010,327893498858,782389966709,1083570781771
805650366791,2010,327893498858,782389966709,115979017587
805650366791,2010,327893498858,782389966709,397587297653
805650366791,2007,715105976379,782389966709,397587297653
805650366791,2014,327893498858,504567342880,115979017587
805650366791,2013,637860132779,504567342880,115979017587
805650366791,2013,637860132779,504567342880,491896530011
805650366791,2013,637860132779,504567342880,397587297653
805650366791,2013,637860132779,504567342880,1083570781771
805650366791,2012,327893498858,504567342880,1083570781771
805650366791,2012,327893498858,504567342880,115979017587
805650366791,2012,327893498858,504567342880,491896530011
805650366791,2012,327893498858,504567342880,397587297653
805650366791,2011,637860132779,504567342880,1083570781771
805650366791,2010,225044240400,504567342880,1083570781771
805650366791,2010,225044240400,504567342880,397587297653
805650366791,2010,225044240400,504567342880,491896530011
805650366791,2010,225044240400,504567342880,405405895484
805650366791,2010,225044240400,504567342880,115979017587
805650366791,2019,327893498858,504567342880,397587297653
805650366791,2017,637860132779,504567342880,1083570781771
